,Event,Bout,Foul,Fouler,Foul Index,Context,Pause?,Deduction?
,UFCVegas-110-garcia-onama-01-11-2025,Alencar vs Carnelossi,Fence Grab,Alencar,1,"This continues, and Alencar is warned for grabbing
the fence to keep Carnelossi stuck and has her hand slapped away a few
times.",No,No
,UFCVegas-110-garcia-onama-01-11-2025,Christian vs Elekana,Back of Head Strike,Elekana,1,"Elekana beans him on the
sides and back of the head while Christian is moving, but what are rules
anymore and how are they never enforced? ",No,No
,UFCVegas-110-garcia-onama-01-11-2025,Valle vs Dulgarian,Back of Head Strike,Valle,1,"Del Valle flattens out his opponent, landing shots to the back of the head but otherwise beating Dulgarian down.",No,No
,UFCVegas-110-garcia-onama-01-11-2025,Frunza vs Radtke,Fence Grab,Frunza,1,"When Radtke looks to advance his position, Frunza nails him with an upkick,
and then hooks his toes in the fencing. Dean tells him to stop, and Frunza
ignores him because the rules are mere suggestions in this sport.",No,No
,UFCVegas-110-garcia-onama-01-11-2025,Gorimbo vs Wells,Fence Grab,Wells,2,"Wells pulls his finger in the fence to try to improve his position, and when
he tries again, Tognoni shouts him down. ",No,No
,UFCVegas-110-garcia-onama-01-11-2025,Gorimbo vs Wells,Fence Grab,Wells,1,"Gorimbo controls with right hands as Wells tries to scramble, and Wells still
works his way to the cage and grabs the fence immediately. ",No,No
,UFCVegas-110-garcia-onama-01-11-2025,Gorimbo vs Wells,Fence Grab,Wells,3,"Wells simply explodes back up to his feet, and
he turns Gorimbo to the fence and imposes his weight all while tugging his
fingers in the chain links illegally. That makes three, maybe four loud warnings
from Tognoni with nothing else to it",No,No
,UFCVegas-110-garcia-onama-01-11-2025,Gorimbo vs Wells,Fence Grab,Gorimbo,4,"Wells grinds down elbows while closely
pressed to Gorimbo in side control, and Tognoni slaps Gorimbo’s toes out of
the fence as they are pulling on it to try to get him a better spot.",No,No
,UFCVegas-110-garcia-onama-01-11-2025,Cortes-Acosta vs Delija,Eye Poke,Delija,1,"The video shows that Delija’s
finger slid into the eye socket, and no five-minute clock starts for recovery
time. Instead, Smith states that if Cortes-Acosta is able to continue, he does
have the ability to restart the fight. ",Yes,No
,UFC-oliveira-gamrot-11-10-2025,Petersen vs Petrino,Fence Grab,Petersen,2,"Petrino lifts and slams him down, but Petersen
powers his way back up and hooks his fingers in the fence. Soares tells him to
knock it off, and he disengages but is still defending the takedown.",No,No
,UFC-oliveira-gamrot-11-10-2025,Petersen vs Petrino,Fence Grab,Petrino,1,"Petersen crashes after him to take him down, and Petrino grabs the fence to
stay afloat and is fussed at by Soares but nothing else comes of it.",No,No
,UFC-oliveira-gamrot-11-10-2025,Carpenter vs Filho,Fence Grab,Carpenter,1,"Carpenter wriggles out and hooks his toes in the
fence, and Maia tugs them out so Carpenter goes back to it again.",No,No
,UFC-oliveira-gamrot-11-10-2025,Diniz vs Pinto,Back of Head Strike,Diniz,1,"Pinto easily mat returns him, and Diniz elbows him repeatedly in the back of the head.",No,No
,UFC-oliveira-gamrot-11-10-2025,Ofli vs Ramos,Fence Grab,Ofli,1,"Ofli stacks his man
up and turns the proper direction to get out of the lock, but he pulls on the
fence more than once to do so.",No,No
,UFC-oliveira-gamrot-11-10-2025,Alvarez vs Luque,Groin Strike,Alvarez,1,"The fighters trade low kicks, and Alvarez’
brushes the cup. Luque signals he is fine, and he keeps out of range until
shooting in for a single.",No,No
,UFC-ulberg-reyes-27-09-2025,Montague vs Carolina,Illegal Upkick,Carolina,1,"Montague
breaks out of the sub without issue, and she gets pounded in the face with an
illegal upkick. She stands up and motions to Perceval, who is right on top of
the action and calls time. Montague appears not compromised, and Perceval
takes a point away and resets the action back on the feet instead of putting
Carolina on her back again.",Yes,Yes
,UFC-ulberg-reyes-27-09-2025,Thicknesse vs Musasa,Groin Strike,Thicknesse,1,"Thicknesse fires off a
front kick that drills Musasa square in the groin, and the Congolese fighter
goes down in a heap. You can’t get kicked much harder to that spot, and
Musasa knows it and appears to dry heave once or twice. Thicknesse drops to
his knees as Perdios calls time, and Perdios knows there is nothing he can do
or say to make the agonizing pain go away. Musasa needs over a minute to
even get back to his feet,",Yes,No
,UFC-ulberg-reyes-27-09-2025,Mullarkey vs Bedoya,Fence Grab,Bedoya,1,"Bedoya grabs the fence to try to stay on his feet, but
Mullarkey wrenches him down from the back and gets both hooks in",No,No
,UFC-ulberg-reyes-27-09-2025,Mullarkey vs Bedoya,Groin Strike,Mullarkey,2,"Mullarkey lifts up a knee and bangs it into
Bedoya’s cup, only for “The Machine” to completely no-sell it and they go on
as if nothing happened",No,No
,UFC-ulberg-reyes-27-09-2025,Stirling vs Bellato,Groin Strike,Bellato,1,"Bellato unloads with power strikes, one of his winging kicks brushing the cup,
and nothing happens other than Bellato getting close enough to clinch again.",No,No
,UFC-ulberg-reyes-27-09-2025,Matthews vs Magny,Eye Poke,Magny,1,"Magny’s jab bounces off the forehead, and he pushes off the face and
his finger grazes the eye. Perdios tells them to be careful, and they carry on.",No,No
,UFC-ulberg-reyes-27-09-2025,Jenkins vs Taveras,Groin Strike,Taveras,1,"Simultaneous kicks fly, and Taveras’ lands square in the
groin. Jenkins groans, but only takes 10 seconds to recover.
They get back to it, but not before clapping hands to make sure things are cool
between the two.",Yes,No
,UFC-ulberg-reyes-27-09-2025,Jenkins vs Taveras,Groin Strike,Taveras,2,"Taveras shoots for a takedown and pushes his foe back,
and he lifts up his knee and slams it into Jenkins’ groin. Goddard loudly calls
stop, and Jenkins drops to a crouch. Goddard issues a hard warning to Tavares,
and Jenkins takes about 45 seconds to get back to it.",Yes,No
,UFC-lopes-silva-13-09-2025,Donchenko vs Sezinando,Groin Strike,Donchenko,1,"Sezinando catches a knee to the cup and time is called. The fight
resumes and Sezinando shoots for a takedown against the fence.",Yes,No
,UFC-lopes-silva-13-09-2025,Dumas vs Reese,Groin Strike,Reese,1,"A hard inside low kick lands for Dumas, but moments later, “The
Reaper” absorbs an audible kick to the groin from Reese. Dumas immediately
collapses to the canvas in agony and the crowd groans upon viewing the
replay. Now a doctor has come in to talk to Dumas, who remains on his knees.
He informs the doctor that, “I cannot feel my right ball.” Beltran tries to
encourage Dumas to stand up, but he says he can’t get up. After that
revelation, Beltran waves off the fight.",Yes,No
,UFC-lopes-silva-13-09-2025,Lemos vs Suarez,Groin Strike,Suarez,2,"Suarez lands a knee to the groin, which prompts
Lemos to collapse to the floor in pain as the American completes her
takedown. Time is called so Lemos can recover. The action resumes with 2:15 to
go.",Yes,No
,UFC-lopes-silva-13-09-2025,Lemos vs Suarez,Fence Grab,Lemos,1,"A fence
grab temporarily saves Lemos, but Suarez grounds her foe moments later.",No,No
,UFC-lopes-silva-13-09-2025,Ferreira vs Hernandez,Eye Poke,Hernandez,1,"Hernandez kicks the body. Ferreira catches and attempts to counter. He gets
poked in the eye in the process and time is called. Ferreira doesn’t need much
time to recover",Yes,No
,UFC-walker-zhang-23-08-2025,Rong vs Hubbard,Groin Strike,Rong,1,"Ribeiro pauses the action after a glancing blow to the cup
by Rong. They go back to work with two minutes to go, and Rong immediately
goes back to work on the lead leg of his foe.",Yes,No
,UFC-walker-zhang-23-08-2025,Taiyilake vs Crosbie,Illegal Knee,Taiyilake,1,"Nueraji stands out of Crosbie’s guard and as
Crosbie moves to get up, nails him with a blatantly illegal knee to the head.
Goddard stops the action, brings the cageside physician in to consult, and
upon the determination that Crosbie is medically able to fight on, asks the
fouled fighter if he wishes to continue. Crosbie immediately responds in the
affirmative. Goddard deducts two points from Nueraji and restarts the action.",Yes,Yes
,UFC-walker-zhang-23-08-2025,Ortega vs Sterling,Groin Strike,Ortega,1,"Ortega fires off
another kick, this one clattering audibly off of Sterling’s cup, but Sterling
waves off any intervention by Dean. ",No,No
,UFC319-duplessis-chimaev-16-08-2025,Idiris vs Morales,Back of Head Strike,Idiris,1,"When he finds himself on top, Morales starts attacking
with elbows, and Cimmarusti warns Idiris for striking the back of the head.",No,No
,UFC319-duplessis-chimaev-16-08-2025,Barbosa vs Silva,Eye Poke,Barbosa,1,"Barbosa is warned for putting her fingers in the eyes while she smothers
Silva’s mouth, and she drops 12-to-6 elbows to the body and chest. ",No,No
,UFC319-duplessis-chimaev-16-08-2025,Andrade vs Godinez,Eye Poke,Andrade,1,"Godinez kicks Andrade and is poked in the eye on the way back, and
Andrade stops and gives her a second to recover when Cimmarusti does not.",No,No
,UFC319-duplessis-chimaev-16-08-2025,Plessis vs Chimaev,Back of Head Strike,Chimaev,1,"Chimaev starts pounding on the side of the head, and a few
punches land to the back of the head as Goddard is paying attention.",No,No
,UFC319-duplessis-chimaev-16-08-2025,Plessis vs Chimaev,Fence Grab,Plessis,3,"When Chimaev steps to get to
mount, Du Plessis illegally grabs the cage to reposition himself and Goddard
admonishes him for it.",No,No
,UFC319-duplessis-chimaev-16-08-2025,Plessis vs Chimaev,Fence Grab,Plessis,2,"Du Plessis is warned for toes in the fence
when trying to push off the wall, and after some light knees from Chimaev,
Goddard stands them up.",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Cachoeira vs Edwards,Eye Poke,Cachoeira,1,"Cachoeira pushes off
and pokes her opponent in the eye. Dean calls time, and Edwards takes 30
seconds to clear her vision. When they resume, both ladies lob hammers at
one another,",Yes,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Kazama vs Smith,Fence Grab,Smith,1,"Smith pulls on the fence a few times to improve his position, and
Kazama turns into it to make the attempt tighter. ",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Cerqueira vs Walker,Fence Grab,Cerqueira,1,"Walker gets his hooks in, and Cerqueira tugs his toes on
the fencing to try to improve his position. Beltran admonishes him.",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Cerqueira vs Walker,Groin Strike,Cerqueira,2,"Walker is in big trouble, and he goes for a double again and is
shoved to his back. Cerqueira allows him to stand back up, and he gets kneed
in the groin and unloads huge punches.",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Anders vs Duncan,Eye Poke,Duncan,3,"Duncan pushes
off when Anders advances, and his finger slides into the vet’s eye socket.
Smith calls time and issues the Englishman a hard warning, and Anders takes
less than 30 seconds before he is good to go. ",Yes,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Anders vs Duncan,Groin Strike,Duncan,4,"Duncan strikes out with a low kick,
pounding into Anders’ cup and forcing another foul stoppage. Smith
recognizes it and sighs, going over to tell Duncan he has to keep it clean.",Yes,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Anders vs Duncan,Groin Strike,Duncan,1,"A spin kick from Duncan bangs into the cup again, and it goes
uncalled as Anders is not thrilled.",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Anders vs Duncan,Fence Grab,Duncan,2,"Duncan grabs the fence to put himself in a better position, and Anders knees
him in the chest and then again to the stomach.",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Anders vs Duncan,Groin Strike,Duncan,5,"Duncan knees him
back, and he slashes with an elbow and appears to have another knee hit or at
least graze the groin. ",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Hill vs Lucindo,Back of Head Strike,Lucindo,1,"Hill sits up, and
Lucindo elbows her in the back of the head. ",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Erceg vs Osbourne,Groin Strike,Erceg,1,"A knee from Erceg bangs into the cup, and Osbourne grimaces
and Smith tells the fouling fighter to watch it. There is no break, so Osbourne
takes it into his own hands to separate himself.",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Dolidze vs Hernandez,Fence Grab,Dolidze,4,"Hernandez bullies Dolidze to the wall, and Dolidze grabs the fence so tightly
that Dean has to slap his hand out.",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Dolidze vs Hernandez,Back of Head Strike,Hernandez,1,"“Fluffy” connects with a few punches, takes a left hand on the way out and lets
Dolidze turn so he can accidentally bash him in the back of the head.",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Dolidze vs Hernandez,Fence Grab,Dolidze,2,"Dolidze grabs the fence blatantly to try to stop a
takedown, and Hernandez still completes it as Dean is yelling at the Georgian.
Dolidze ignores him when he hits the ground and tugs on it again, and Dean is 
angry but Hernandez is beating on Dolidze so it is not as if Dolidze fouled his way to an advantageous position. ",No,No
,UFCVegas-109-dolidze-hernandez-09-08-2025,Dolidze vs Hernandez,Fence Grab,Dolidze,3,"Dolidze grabs the fence, and Dean has had enough of that foolishness and
deducts one point from the Georgian",Yes,Yes
,UFCVegas-108-taira-park-02-08-2025,Bunes vs Estevam,Back of Head Strike,Bunes,1,"Bunes attacks with elbows
off his back, at least one landing to the back of the head, but Estevam ignores
them and stays smothering.",No,No
,UFCVegas-108-taira-park-02-08-2025,Bunes vs Estevam,Groin Strike,Estevam,2,"Bunes starts first with a jabbing front kick, and Estevam responds with one that sounds like it brushes the cup.",No,No
,UFCVegas-108-taira-park-02-08-2025,Bunes vs Estevam,Back of Head Strike,Estevam,3,"Hatley warns Estevam for reckless punches to
the back of the head, and “Macapa” continues to slap his foe around from
behind.",No,No
,UFCVegas-108-taira-park-02-08-2025,Klein vs Pulyaev,Fence Grab,Pulyaev,1,"Pulyaev tries to grab the fence to stay upright,
and Tognoni is paying close attention.",No,No
,UFCVegas-108-taira-park-02-08-2025,Gore vs Vieira,Eye Poke,Gore,1,"Gore rakes Vieira in the eye, and
Smith warns him to knock it off. ",No,No
,UFCVegas-108-taira-park-02-08-2025,Gore vs Vieira,Eye Poke,Gore,2,"Vieira plants a one-two on the jaw, and Gore
pushes off with his thumb that swipes the eyeball. Smith calls time, and he
issues a hard warning to the fouling fighter",Yes,No
,UFCVegas-108-taira-park-02-08-2025,Silva vs Vallejos,Groin Strike,Vallejos,1,"Vallejos backs Silva up with a right hand,
and they toss out front kicks as Vallejos bangs into the cup. ",No,No
,UFCVegas-108-taira-park-02-08-2025,Cornolle vs Rosa,Illegal Upkick,Cornolle,1,"Cornolle tries to kick off with upkicks, and even lands an illegal one as Hatley
lightly admonishes her for this.",No,No
,UFCVegas-108-taira-park-02-08-2025,Duncan vs Rebecki,Fence Grab,Duncan,1,"Rebecki leans on his training partner, and Duncan grabs the fence to get a
better position",No,No
,UFCVegas-108-taira-park-02-08-2025,Magny vs Santos,Back of Head Strike,Magny,1,"Zaleski dos Santos lands in the guard, which Magny keeps open as he uses open palm strikes to the ears and back of the head a few timesâSmith warns him for it.",No,No
,UFC-whittaker-deridder-26-07-2025,Yahya vs Nguyen,Illegal Knee,Nguyen,1,"Yahya works his way
back to his feet, takes an illegal knee on the chin and still manages to keep
moving.",No,No
,UFC-whittaker-deridder-26-07-2025,Aslan vs Elekana,Groin Strike,Aslan,1,"An Aslan kick
brushes the cup, and Elekana talks to him about it and gives him a front kick
in the stomach to think about.",No,No
,UFC-whittaker-deridder-26-07-2025,Aslan vs Elekana,Groin Strike,Elekana,3,"Elekana shoots for a single that fails almost as soon as he
grabs hold of the Turkish fighter’s leg, and front kicks from the fighters brush
the cup again. Aslan shakes his cup and they do not stop",No,No
,UFC-whittaker-deridder-26-07-2025,Buday vs Almeida,Back of Head Strike,Almeida,1,"Almeida opts to shell Buday on both sides of the head rather than going for a sub, and some of his blows land on the back of the head.",No,No
,UFC-whittaker-deridder-26-07-2025,Aslan vs Elekana,Groin Strike,Aslan,2,"Aslan leads off with multiple low
and body kicks, one of which jams into the groin cup. Elekana frowns, and
after a few seconds of recovery time, he gets back to business, where Aslan
kicks him nearly in the same spot.",No,No
,UFC-whittaker-deridder-26-07-2025,Mitchell vs Nurmagomedov,Fence Grab,Nurmagomedov,2," Nurmagomedov grabs the fence again with his
fingers, and Perdios swats his hand and then foot out of the links.",No,No
,UFC-whittaker-deridder-26-07-2025,Mitchell vs Nurmagomedov,Fence Grab,Nurmagomedov,3,"Nurmagomedov is warned for putting his toes in the fence to pull himself to a
more advantageous position",No,No
,UFC-whittaker-deridder-26-07-2025,Mitchell vs Nurmagomedov,Fence Grab,Nurmagomedov,1,"Mitchell hangs on, and Nurmagomedov has his toes
still hooked in the fence as Perdios has to smack his toes again to pull them
out of it. ",No,No
,UFC-whittaker-deridder-26-07-2025,Almabayev vs Ochoa,Fence Grab,Almabayev,1,"On a second effort, Almabayev is
able to take the back upright, but he has to hook his toes in the fence to stay
balanced. ",No,No
,UFC-whittaker-deridder-26-07-2025,Almabayev vs Ochoa,Fence Grab,Almabayev,2,"Almabayev grabs the fence,
and Herzog calls him on it and breaks them apart. Almabayev apologizes, but
he goes right after Ochoa for another takedown, this time in the open cage.",Yes,No
,UFC-whittaker-deridder-26-07-2025,Magomedov vs Barriault,Fence Grab,Magomedov,1,"Barriault succeeds in dragging “Shara Bullet” down, but Magomedov
grabs the fence to pull himself up and is lightly chided for the infraction.",No,No
,UFC-whittaker-deridder-26-07-2025,Magomedov vs Barriault,Groin Strike,Barriault,2,"They
kick at the same time, and Barriault’s foot grazes the cup. Perdios checks on
the Russian, who is good to go",Yes,No
,UFC-whittaker-deridder-26-07-2025,Yan vs McGhee,Back of Head Strike,Yan,1,"McGhee turns to put his
back against the fencing, and Yan is warned for striking to the back of his head
when McGhee tries to take the fight down.",No,No
,UFC318-holloway-poirier-19-07-2025,Oliveira vs Phillips,Groin Strike,Oliveira,1,"Oliveira drives a front kick that sounds like it ricocheted off the cup, but
Phillips does not express concern and shoots in for a takedown.",No,No
,UFC318-holloway-poirier-19-07-2025,Johnson vs Zellhuber,Groin Strike,Johnson,1,"Johnson parries kicks and responds with his own to the inner thigh, only for
the foot to slide up and bang into Zellhuber’s undercarriage. Zellhuber groans
and Hatley calls time, and the damaged fighter needs 30 seconds to recover.",Yes,No
,UFC318-holloway-poirier-19-07-2025,Johnson vs Zellhuber,Groin Strike,Johnson,2,"Johnson sticks his opponent
and moves quicker than Zellhuber can land on him, and he kicks Zellhuber in
the stomach and might have landed to the groin.",No,No
,UFC318-holloway-poirier-19-07-2025,Freire vs Ige,Groin Strike,Freire,1,"After a lull, Ige tosses
out a body kick, and Freire complains that it bumped his groin. Miragliotta
calls time, and the replay show that the heel of Ige jammed the Brazilian in the
cup. ",Yes,No
,UFC318-holloway-poirier-19-07-2025,Holland vs Rodriguez,Groin Strike,"Holland, Rodriguez",1,"Both fighters
appear to graze the cup with kicks, and Holland rolls with a combo and dings
Rodriguez with a right hand on the forehead.",No,No
,UFC318-holloway-poirier-19-07-2025,Holland vs Rodriguez,Fence Grab,Rodriguez,2,"Holland uses a high guard to hold on with a
triangle choke that is more of a high guard than anything, and Rodriguez grabs
the fence to get out of it.",No,No
,UFC318-holloway-poirier-19-07-2025,Holloway vs Poirier,Eye Poke,Holloway,2,"Holloway pushing off Poirier’s face and poking him. They high-five to get going,
and then proceed to punch one another in the face.",No,No
,UFC318-holloway-poirier-19-07-2025,Holloway vs Poirier,Eye Poke,Holloway,1,"Poirier sits down on a right hand that just misses
the mark, and Holloway pushes off and his finger slides in the eye socket
again. Herzog calls time, and Holloway immediately apologizes. Poirier accepts
it, and they get back to it with a high-five. ",Yes,No
