sid,bout,text,has_foul,ml_prob,pred_foul
21,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"sherdog scores tristen critchfield scores the round: 10-9 santos brian knapp scores the round: 10-9 santos tyler treese scores the round: 10-9 santos (function (v,i) { let screenwidth = i.innerwidth; if (screenwidth <= 400) { document.getelementbyid('adviai').style.display = 'none'; return; } var scp = v.createelement('script'), config = { channelid: '0nqr3w5ff', adunittype: '2', publisherid: '256607409443141', placementid: 'pltu2jigmatxi9xw18z', divid: '', iab_category: 'iab17', keywords: '', language: 'en-us', bg_color: '', text_color: '', font: '', fontsize: '', }; scp.src='https://s.vi-serve.com/tagloader.js'; scp.type = 'text/javascript'; scp.async = true; scp.onload = function() { i[btoa('video intelligence start')].init(config); }; (v.getelementsbytagname('head')[0] || v.documentelement.appendchild(v.createelement('head'))).appendchild(scp); })(document, window); advertisement round 2 santos opens with a hard leg kick.",0,0.0013749116889539745,0
22,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"they tie up in the center of the octagon, and santos secures a body lock.",0,0.0013749116889539745,0
23,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"he can't trip naimov to the mat, but he does shove his foe into the fence.",0,0.035645775101684034,0
24,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),naimov spins away and presses santos into the cage.,0,0.035645775101684034,0
25,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"the slow-paced clinch battle has resumed, and santos goes back to slapping the back of his foe.",0,0.0013749116889539745,0
26,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"santos is frustrated, and he feigns yawning as naimov grinds away.",0,0.0013749116889539745,0
27,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),they separate with about 3:00 remaining.,0,0.0013749116889539745,0
28,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos leaps in with a jab.,0,0.0013749116889539745,0
29,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),a low kick by santos makes naimov stumble.,0,0.0013749116889539745,0
30,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),naimov changes levels but is stuffed and eats an uppercut from santos for his efforts.,0,0.0013749116889539745,0
31,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos follows up with another solid low kick.,0,0.0013749116889539745,0
32,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),they collide in the clinch and santos lands a pair of knees to the midsection.,0,0.0013749116889539745,0
33,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),santos follows a jab with a right to the body.,0,0.0013749116889539745,0
34,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"naimov fires off a standing side kick to the head, but it's a glancing blow.",0,0.0013749116889539745,0
35,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"naimov shoots again, but he eats a knee in the clinch.",0,0.0013749116889539745,0
36,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"they're back at range, and naimov misses a spinning back kick before the horn.",0,0.0013749116889539745,0
37,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"sherdog scores tristen critchfield scores the round: 10-9 santos brian knapp scores the round: 10-9 santos tyler treese scores the round: 10-9 santos round 3 there's some handfighting early, and then naimov tries to counter a leg kick from his brazilian foe.",0,0.0013749116889539745,0
38,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"his decision to engage comes back to haunt him, however, as santos answers with a clean 1-2 combination âand the right hand sends naimov to the canvas instantly.",0,0.0013749116889539745,0
39,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"santos pounces and unloads a few follow-up shots on the ground before herzog can intervene.while this victory is marred by a weight miss, ""the legend"" is now 4-0 in the octagon.",0,0.0013749116889539745,0
40,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),"santos apologizes for the infraction, blaming it on a ""miscalculation that won't happen again.""",0,0.0013749116889539745,0
41,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),the official result mairon santos def.,0,0.0013749116889539745,0
42,Muhammadjon Naimov (146) vs. Mairon Santos (147.5: Missed Weight),muhammadjon naimov via tko (punches) r3 0:21,0,0.0013749116889539745,0
1,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),mansur abdul-malik (185.5) vs.,0,0.0013749116889539745,0
2,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),"antonio trocoli (186) betting preview | scouting report | odds: abdul-malik (-1150), trocoli (+650) round 1 mark smith is the referee.",0,0.0013749116889539745,0
3,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),abdul-malik leaps in with a combination early.,0,0.0013749116889539745,0
4,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),trocoli fires back with some kick.,0,0.0013749116889539745,0
5,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),abdul-malik just misses on a massive right before exploding for a takedown.,0,0.0013749116889539745,0
6,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),"trovcoli creates some space with his guard, but abdul-malik dives back into top position and powers trocoli to his back.",0,0.0013749116889539745,0
7,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),"moments later, trocoli works his way back up to his feet while clinging to a single-leg but leaves his neck exposed.abdul-malik cinches up a powerful guillotine as the brazilian stands, and trocoli has no choice but to tap out immediately.trocoli has dropped three straight ufc appearances inside the distance.",0,0.0013749116889539745,0
8,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),the official result mansur abdul-malik def.,0,0.0013749116889539745,0
9,Mansur Abdul-Malik (185.5) vs. Antonio Trocoli (186),antonio trocoli via submission (guillotine choke) r1 1:09,0,0.0013749116889539745,0
1,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),iwo baraniewski (206) vs.,0,0.0013749116889539745,0
2,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),"ibo aslan (205.5) betting preview | scouting report | odds: baraniewski (-185), aslan (+154) round 1 marc goddard is the referee.",0,0.0013749116889539745,0
3,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),baraniewski wades forward winging punches but can't find the range.,0,0.0013749116889539745,0
4,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),aslan lands a front kick to the midsection and then follows up with a leg kick.,0,0.0013749116889539745,0
5,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),"baraniewski shoots for a takedown, but it leads to a chaoctic punching exchange in close quarters.",0,0.0013749116889539745,0
6,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),"both men are swinging wildly, and both are landing significant leather.",0,0.0013749116889539745,0
7,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),baraniewski drops aslan with a clean right hook and flurries with punches.,0,0.0013749116889539745,0
8,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),aslan gets to his feet and rocks baraniewski with power punches near the fence.,0,0.035645775101684034,0
9,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),"it's been a wild brawl with little regard for defense â a bar fight in the cage, in other words.",0,0.035645775101684034,0
10,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),"aslan marches forward carelessly, slinging punches at his polish foe.",0,0.0013749116889539745,0
11,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),"aslan's hands are extremely low andbaraniewski capitalizes, as he drops his adversary with a clean counter right hook to the chin.",0,0.0013749116889539745,0
12,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),"aslan falls to his back, and baraniewski dives into top position with a vengeance, flattening the turkish fighter out with a punishing finishing salvo.baraniewski extends his first-round finishing streak to seven in his promotional debut.",0,0.0013749116889539745,0
13,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),the official result iwo baraniewski def.,0,0.0013749116889539745,0
14,Iwo Baraniewski (206) vs. Ibo Aslan (205.5),ibo aslan via ko (punches) r1 1:29,0,0.0013749116889539745,0
1,Edson Barboza (155.5) vs. Jalin Turner (155),edson barboza (155.5) vs.,0,0.0013749116889539745,0
2,Edson Barboza (155.5) vs. Jalin Turner (155),"jalin turner (155) betting preview | scouting report | odds: turner (-290), barboza (+235) round 1 herb dean is the referee.",0,0.0013749116889539745,0
3,Edson Barboza (155.5) vs. Jalin Turner (155),"turner flicks out his jab early, but barboza answers with a sharp combination.",0,0.0013749116889539745,0
4,Edson Barboza (155.5) vs. Jalin Turner (155),"the brazilian is ripping hook,s working the body and head as both fighters get to work in a furious back-and-forth.",0,0.0013749116889539745,0
5,Edson Barboza (155.5) vs. Jalin Turner (155),barboza gets cut badly by a slashing elbow from turner during that exchange.,0,0.0013749116889539745,0
6,Edson Barboza (155.5) vs. Jalin Turner (155),"shortly thereafter, barboza is dropped by a huge right from turner.",0,0.0013749116889539745,0
7,Edson Barboza (155.5) vs. Jalin Turner (155),"turner moves into top position, trying to land ground-and-pound, as barboza attempts to regain his bearings.",0,0.0013749116889539745,0
8,Edson Barboza (155.5) vs. Jalin Turner (155),the brazilian is up and still bleeding profusely from his head.,0,0.0013749116889539745,0
9,Edson Barboza (155.5) vs. Jalin Turner (155),"the rangy turner has barboza reeling, teeing off with punches in bunches against the fence.",0,0.035645775101684034,0
10,Edson Barboza (155.5) vs. Jalin Turner (155),barboza is stil firing back and he is able to circle out of danger â but he's in serious trouble.,0,0.0013749116889539745,0
11,Edson Barboza (155.5) vs. Jalin Turner (155),"turner backs barboza up again,and ""the tarantula"" pieces up his adversary with yet another combination near the fence.",0,0.035645775101684034,0
12,Edson Barboza (155.5) vs. Jalin Turner (155),"turner drops the veteran with the barrage, and dean has seen barboza take enough punishment in this one, as he waves off the fight.that's a successful return from a short-lived retirement for turner, while barboza has dropped five of his last seven ufc outings.",0,0.0013749116889539745,0
13,Edson Barboza (155.5) vs. Jalin Turner (155),the official result jalin turner def.,0,0.0013749116889539745,0
14,Edson Barboza (155.5) vs. Jalin Turner (155),edson barboza via tko (punches) r1 2:24,0,0.0013749116889539745,0
1,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),marvin vettori (186) vs.,0,0.0013749116889539745,0
2,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"brunno ferreira (189: missed weight) betting preview | scouting report | odds: vettori (-118), ferreira (-102) round 1 chris tognoni is the referee.",0,0.0013749116889539745,0
3,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira circles on the outside and the middleweights exchange low kicks.,0,0.0013749116889539745,0
4,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),the brazilian lunges in with a punching combination.,0,0.0013749116889539745,0
5,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori closes the distance but ferreira denies a takedown.,0,0.0013749116889539745,0
6,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori backs up his foe with straight punches.,0,0.0013749116889539745,0
7,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),a straight left from ferreira gets through vettori's guard.,0,0.0013749116889539745,0
8,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira kicks the midsection.,0,0.0013749116889539745,0
9,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"the brazilian is active, lunging forward with power shots.",0,0.0013749116889539745,0
10,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori lands a low kick.,0,0.0013749116889539745,0
11,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira lands a heavy leg kick of his own.,0,0.0013749116889539745,0
12,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori shoots behind a combination but it's denied.,0,0.0013749116889539745,0
13,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"ferreira is throwing bombs, mostly missing the mark thus far.",0,0.0013749116889539745,0
14,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori follows a double jab with a stiff straight left that lands with impact.,0,0.0013749116889539745,0
15,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira fires off a 1-2.,0,0.0013749116889539745,0
16,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"ferreira tries a head kick and falls to the floor, just missing with the attack.",0,0.0013749116889539745,0
17,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira counters vettori as he moves forward.,0,0.0013749116889539745,0
18,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira grounds vettori late in the round but the italian scrambles up.,0,0.0013749116889539745,0
19,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"ferreira stays on the attack, but vettori counters in turn.",0,0.0013749116889539745,0
20,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori lands a solid combination before the horn.,0,0.0013749116889539745,0
21,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),sherdog scores tristen critchfield scores the round: 10-9 ferreira brian knapp scores the round: 10-9 ferreira tyler treese scores the round: 10-9 ferreira round 2 vettori looks for a single leg but ferreira stops it and tags him with some punches.,0,0.0013749116889539745,0
22,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),a hard body kick connects for the brazilian and vettori lands one of his own.,0,0.0013749116889539745,0
23,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"vettori goes back to the 1-1-2, and it's effective.",0,0.0013749116889539745,0
24,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira lands a counter left hook as the italian pressures.,0,0.0013749116889539745,0
25,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori has a haed kick blocked.,0,0.0013749116889539745,0
26,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira fakes a takedown and misses a looping right hand.,0,0.0013749116889539745,0
27,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),a straight left lands for vettori.,0,0.0013749116889539745,0
28,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"vettori lands a leg kick, and then counters with a short left.",0,0.0013749116889539745,0
29,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira turns up the heat and attacks behind a combination.,0,0.0013749116889539745,0
30,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira snaps his foe's head back with a left.,0,0.0013749116889539745,0
31,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori shakes it off.,0,0.0013749116889539745,0
32,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori stumbles after another combination by the brazilian.,0,0.0013749116889539745,0
33,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"vettori sticks a jab, but ferreira partially lands a calf kick.",0,0.0013749116889539745,0
34,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),heavy punches are exchanged.,0,0.0013749116889539745,0
35,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira moves forward and lands a body-head combination.,0,0.0013749116889539745,0
36,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira changes levels but vettori stuffs it.,0,0.0013749116889539745,0
37,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"a front kick lands for the brazilian, and they both connect in an exchange.",0,0.0013749116889539745,0
38,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),the frame ends with vettori circling on the outside.,0,0.0013749116889539745,0
39,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"sherdog scores tristen critchfield scores the round: 10-9 ferreira brian knapp scores the round: 10-9 ferreira tyler treese scores the round: 10-9 ferreira round 3 ferreira with a hard kick to the body, and he dumps vettori on his back.",0,0.0013749116889539745,0
40,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori scrambles up and is briefly trapped in a guillotine before assuming top position.,0,0.0013749116889539745,0
41,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira is able to return to his feet and they're back to standing.,0,0.0013749116889539745,0
42,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"vettori pressures and stuffs a ferreira takedown, shoving his foe into the fence.",0,0.035645775101684034,0
43,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori pursues a takedown against the fence.,0,0.035645775101684034,0
44,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),he connects his hands and gets his first takedown.,0,0.0013749116889539745,0
45,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"ferreira scrambles up, eating a knee in the process.",0,0.0013749116889539745,0
46,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori sticks a solid 1-2.,0,0.0013749116889539745,0
47,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),ferreira responds with a jab.,0,0.0013749116889539745,0
48,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori moves in and lands an uppercut.,0,0.0013749116889539745,0
49,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),a right hook from the brazilian snaps vettori's head back.,0,0.0013749116889539745,0
50,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),he lands a couple more hard shots to put the italian on the retreat.,0,0.0013749116889539745,0
51,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori defends a single leg takedown.,0,0.0013749116889539745,0
52,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"vettori is bloodied, and he eats a stiff left from ""the hulk.""",0,0.0013749116889539745,0
53,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"the volume is close, but ferreira is landing the heavier shots in the fight.",0,0.0013749116889539745,0
54,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori ducks under a spinning elbow.,0,0.0013749116889539745,0
55,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),another exchange ends with a left from ferreira.,0,0.0013749116889539745,0
56,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"moments later, vettori backs up ferreira with punches.",0,0.0013749116889539745,0
57,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),time is running out for the former title challenger.,0,0.0013749116889539745,0
58,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"both middleweights are swinging, but it's ferreira who steps in with a big uppercut.",0,0.0013749116889539745,0
59,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),one more exchange ensues before the final horn.,0,0.0013749116889539745,0
60,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),vettori is wearing the worst of the damage after 15 minutes.,0,0.0013749116889539745,0
61,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),sherdog scores tristen critchfield scores the round: 10-9 ferreira (30-27 ferreira) brian knapp scores the round: 10-9 vettori (29-28 ferreira) tyler treese scores the round: 10-9 vettori (29-28 ferreira) the official result brunno ferreira def.,0,0.0013749116889539745,0
62,Marvin Vettori (186) vs. Brunno Ferreira (189: Missed Weight),"marvin vettori via unanimous decision (29-28, 29-28, 29-28 r3 5:00",0,0.0013749116889539745,0
1,Nazim Sadykhov (155.5) vs. Fares Ziam (156),nazim sadykhov (155.5) vs.,0,0.0013749116889539745,0
2,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"fares ziam (156) betting preview | scouting report | odds: ziam (-135), sadykhov (+114) round 1 jason herzog is the referee.",0,0.0013749116889539745,0
3,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"ziam follows a leg kick with a body kick, and sadykhov ties him up and pushes his foe to the fence.",0,0.035645775101684034,0
4,Nazim Sadykhov (155.5) vs. Fares Ziam (156),ziam reverses the position and lands some knees to the thighs.,0,0.0013749116889539745,0
5,Nazim Sadykhov (155.5) vs. Fares Ziam (156),ziam lifs his foe and briefly dumps him on the mat.,0,0.0013749116889539745,0
6,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"the frenchman continues to control the clinch, punching the body.",0,0.0013749116889539745,0
7,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"ziam lifts sadykhov, pulls him away from the fence and taked him down.",0,0.1428504885960686,0
8,Nazim Sadykhov (155.5) vs. Fares Ziam (156),ziam transitions nicely to an arm-triangle choke attempt before moving to the back as sadykhov attempts to scramble to his feet.,0,0.0013749116889539745,0
9,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"ziam is on sadykhov's back, and he drags him down to a seated position.",0,0.0013749116889539745,0
10,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"""smile killer"" has his hooks in, and he switches to a body triangle as he peppers sadykhov with short shots.",0,0.0013749116889539745,0
11,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"ziam is looking to create opening for a rear-naked choke, but sadykhov is defending well.",0,0.0013749116889539745,0
12,Nazim Sadykhov (155.5) vs. Fares Ziam (156),ziam elbows the shoulder of his opponent while still attached to the back.,0,0.0013749116889539745,0
13,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"sadykhov continues to fight the hands of his opponent as time ticks down, and he'll survive to see another five minutes.",0,0.0013749116889539745,0
14,Nazim Sadykhov (155.5) vs. Fares Ziam (156),sherdog scores tristen critchfield scores the round: 10-9 ziam brian knapp scores the round: 10-9 ziam tyler treese scores the round: 10-9 ziam round 2 sadykhov looks to find punching range and ziam backs him up with a high kick.,0,0.0013749116889539745,0
15,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"the frenchman lands some long punches, taking advantage of his reach.",0,0.0013749116889539745,0
16,Nazim Sadykhov (155.5) vs. Fares Ziam (156),a jab from ziam appears to briefly stun sadykhov.,0,0.0013749116889539745,0
17,Nazim Sadykhov (155.5) vs. Fares Ziam (156),ziam moves in and lands a jab.,0,0.0013749116889539745,0
18,Nazim Sadykhov (155.5) vs. Fares Ziam (156),a front kick makes sadykhov stumble backwards momentarily.,0,0.0013749116889539745,0
19,Nazim Sadykhov (155.5) vs. Fares Ziam (156),ziam targets the lead leg of sadykhov.,0,0.0013749116889539745,0
20,Nazim Sadykhov (155.5) vs. Fares Ziam (156),sadykhov is strugglling to find openings on the feet.,0,0.0013749116889539745,0
21,Nazim Sadykhov (155.5) vs. Fares Ziam (156),ziam lands a long right hand before changing levels against the fence.,0,0.035645775101684034,0
22,Nazim Sadykhov (155.5) vs. Fares Ziam (156),sadykhov reverses the position and presses his foe into the fence.,0,0.035645775101684034,0
23,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"ziam reverses and works for a high crotch takedown, punishing the leg of his opponent with a kick.",0,0.0013749116889539745,0
24,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"moments later, ziam pulls sadykhov off the fence and lands a takedown.",0,0.09590137921160868,0
25,Nazim Sadykhov (155.5) vs. Fares Ziam (156),the frenchman is quickly working to take the back while hunting for a choke.,0,0.0013749116889539745,0
26,Nazim Sadykhov (155.5) vs. Fares Ziam (156),sadykhov scrambles but he can't free himself from ziam's clutches.,0,0.0013749116889539745,0
27,Nazim Sadykhov (155.5) vs. Fares Ziam (156),sadykhov gets to a knee and then attempts to stand.,0,0.0013749116889539745,0
28,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"but with time winding down in the frame,ziam creates some space and rocks sadykhov with a pair of nasty elbows behind the ear.",0,0.0013749116889539745,0
29,Nazim Sadykhov (155.5) vs. Fares Ziam (156),"sadykhov tumbles to the floor and covers up as ziam unloads with unanswered ground-and-pound before the horn sounds.herzog has been taking a close look at the final salvo, and he elects to wave off the fight.",0,0.0013749116889539745,0
30,Nazim Sadykhov (155.5) vs. Fares Ziam (156),it appears to be the right call because sadykhov is on wobbly legs as he protests the stoppage.,0,0.0013749116889539745,0
31,Nazim Sadykhov (155.5) vs. Fares Ziam (156),that's six straight victories for ziam.,0,0.0013749116889539745,0
32,Nazim Sadykhov (155.5) vs. Fares Ziam (156),the official result fares ziam def.,0,0.0013749116889539745,0
33,Nazim Sadykhov (155.5) vs. Fares Ziam (156),nazim sadykhov via tko (elbows and punches) r2 4:59,0,0.0013749116889539745,0
1,Maycee Barber (125.5) vs. Karine Silva (125.5),maycee barber (125.5) vs.,0,0.0013749116889539745,0
2,Maycee Barber (125.5) vs. Karine Silva (125.5),"karine silva (125.5) betting preview | scouting report | odds: barber (-192), silva (+160) round 1 mark smith is the referee.",0,0.0013749116889539745,0
3,Maycee Barber (125.5) vs. Karine Silva (125.5),"barber looks to get in range behind her jab, but silva lands a hard low kick.",0,0.0013749116889539745,0
4,Maycee Barber (125.5) vs. Karine Silva (125.5),"a ""usa"" chant breaks out within 30 seconds.",0,0.0013749116889539745,0
5,Maycee Barber (125.5) vs. Karine Silva (125.5),"barber is firing off her right hand, but hasn't quite found the range yet.",0,0.0013749116889539745,0
6,Maycee Barber (125.5) vs. Karine Silva (125.5),silva is having success with low kicks early.,0,0.0013749116889539745,0
