bout,sid,run_id,context,foul_raw_match,foul_type_guess,referee_paused,foul_resulted_in_deduction,fighter1,fighter2,bout_key,foul_committed_by,foul_idx
Hamdy Abdelwahab (264.5) vs. Mohammed Usman (244.5),27,27,"usman pushes off, and his finger slides into the egyptian's right eyeball.",finger slides into the egyptian's right eye,finger slides into the egyptian's right eye,FALSE,FALSE,Hamdy Abdelwahab,Mohammed Usman,abdelwahab vs usman,Mohammed Usman,1
Azat Maksum (126) vs. Tagir Ulanbekov (126),32,32,"maksum manages to circle around and take ulanbekov's back, and when he lifts ulanbekov up, ulanbekov grabs the fence and holds onto it to prevent the takedown.",grabs the fence,grabs the fence,FALSE,FALSE,Azat Maksum,Tagir Ulanbekov,maksum vs ulanbekov,Tagir Ulanbekov,1
Irina Alekseeva (135.5) vs. Klaudia Sygula (135.5),19,19,"sygula bears down on her opponent, and she finishes a combo with a front kick, toes extended, that connects squarely to alekseeva's groin.",NA,NA,FALSE,FALSE,Irina Alekseeva,Klaudia Sygula,alekseeva vs sygula,Klaudia Sygula,1
Irina Alekseeva (135.5) vs. Klaudia Sygula (135.5),20,20,mitchell calls the foul-women can take groin shots too-and alekseeva bounces around and recovers after about 35 seconds.,NA,NA,FALSE,FALSE,Irina Alekseeva,Klaudia Sygula,alekseeva vs sygula,UNKNOWN,2
Irina Alekseeva (135.5) vs. Klaudia Sygula (135.5),28,28,"the polish fighter hurries away, and she lets rip an inside low kick that slams square into alekseeva's groin.",NA,NA,FALSE,FALSE,Irina Alekseeva,Klaudia Sygula,alekseeva vs sygula,Irina Alekseeva,3
Melissa Mullins (136) vs. Darya Zheleznyakova (136),49,49,"zheleznyakova defends a takedown by grabbing the fence, and mitchell yells at her.",grabbing the fence,grabbing the fence,FALSE,FALSE,Melissa Mullins,Darya Zheleznyakova,mullins vs zheleznyakova,Darya Zheleznyakova,1
Ismail Naurdiev (186) vs. Jun Yong Park (186),16,16,"naurdiev eats a stern right hand that makes him back off, and he pushes out with his fingers outstretched and swipes park in the eye.",fingers outstretched and swipes park in the eye,eye poke,FALSE,FALSE,Ismail Naurdiev,Jun Yong Park,naurdiev vs park,Ismail Naurdiev,1
Ismail Naurdiev (186) vs. Jun Yong Park (186),19,19,"naurdiev flashes out two punches and then a knee to the body, and park knees him back and takes one to the groin.",takes one to the groin,takes one to the groin,FALSE,FALSE,Ismail Naurdiev,Jun Yong Park,naurdiev vs park,Ismail Naurdiev,2
Ismail Naurdiev (186) vs. Jun Yong Park (186),25,25,"sherdog scores jay pettry scores the round: 10-9 park christian laporte scores the round: 10-9 naurdiev scottie smith scores the round: 10-9 park round 2 when the round begins, naurdiev starts by pushing off with his left hand and jamming it into park's eye socket.",jamming it into park's eye,jamming it into park's eye,FALSE,FALSE,Ismail Naurdiev,Jun Yong Park,naurdiev vs park,Ismail Naurdiev,3
Ismail Naurdiev (186) vs. Jun Yong Park (186),28,28,"park drops to a knee, and naurdiev blasts him in the face with an illegal knee.",illegal knee,illegal knee,FALSE,FALSE,Ismail Naurdiev,Jun Yong Park,naurdiev vs park,UNKNOWN,4
Ismail Naurdiev (186) vs. Jun Yong Park (186),52,52,"naurdiev grabs the fence to adjust himself, and bosacki grumbles at him.",grabs the fence,grabs the fence,FALSE,FALSE,Ismail Naurdiev,Jun Yong Park,naurdiev vs park,Ismail Naurdiev,5
Oban Elliott (170.5) vs. Seok Hyeon Ko (169.5),37,37,"elliott uses his toes to pull off the fence to improve position, blood streaming down his face when he turns to the side.",NA,NA,FALSE,FALSE,Oban Elliott,Seok Hyeon Ko,elliott vs ko,Oban Elliott,1
Nikolas Motta (155.5) vs. Nazim Sadykhov (155),16,16,"sadykhov's momentum and offense pushes motta to the wall, and bosacki warns him for grabbing the fence to keep him there.",grabbing the fence,grabbing the fence,FALSE,FALSE,Nikolas Motta,Nazim Sadykhov,motta vs sadykhov,Nikolas Motta,1
Curtis Blaydes (256) vs. Rizvan Kuniev (264.5),9,9,"kuniev grabs the fence to stay afloat, and dean yells at him.",grabs the fence,grabs the fence,FALSE,FALSE,Curtis Blaydes,Rizvan Kuniev,blaydes vs kuniev,Rizvan Kuniev,1
Curtis Blaydes (256) vs. Rizvan Kuniev (264.5),11,11,"kuniev grabs the cage again, and dean slaps his hand away.",grabs the cage,grabs the cage,FALSE,FALSE,Curtis Blaydes,Rizvan Kuniev,blaydes vs kuniev,Rizvan Kuniev,2
Curtis Blaydes (256) vs. Rizvan Kuniev (264.5),12,12,"blaydes knees him in the thigh, and kuniev grabs the fence again as he gets taken down.",grabs the fence,grabs the fence,FALSE,FALSE,Curtis Blaydes,Rizvan Kuniev,blaydes vs kuniev,Rizvan Kuniev,3
Curtis Blaydes (256) vs. Rizvan Kuniev (264.5),51,51,"kuniev grabs the fence, and the commentators call him on it as dean signals that he's got this.",grabs the fence,grabs the fence,FALSE,FALSE,Curtis Blaydes,Rizvan Kuniev,blaydes vs kuniev,Rizvan Kuniev,4
Ignacio Bahamondes (155.5) vs. Rafael Fiziev (155.5),36,36,"bahamondes tugs his toes on the wire-it is a rough day for enforcing fence grabs, even as goddard admonishes the fouling fighter-and works to his feet.",fence grab,fence grab,FALSE,FALSE,Ignacio Bahamondes,Rafael Fiziev,bahamondes vs fiziev,Ignacio Bahamondes,1
Jamahal Hill (206) vs. Khalil Rountree (206),33,33,"hill lands an inside low kick, and he signals to check on if it landed on the groin, but rountree shrugs him off.",NA,NA,FALSE,FALSE,Jamahal Hill,Khalil Rountree,hill vs rountree,Jamahal Hill,1
Jamahal Hill (206) vs. Khalil Rountree (206),73,73,"pushing through hill's offense, rountree zings a left hand over the top, and hill complains that a finger went in his eye.",finger went in his eye,eye poke,FALSE,FALSE,Jamahal Hill,Khalil Rountree,hill vs rountree,UNKNOWN,2
Serhiy Sidey (135.5) vs. Cameron Smotherman (135.5),16,16,miragliotta cautions smotherman for grabbing the fence.,grabbing the fence,grabbing the fence,FALSE,FALSE,Serhiy Sidey,Cameron Smotherman,sidey vs smotherman,Cameron Smotherman,1
Michael Chiesa (171) vs. Court McGee (170),25,25,"the instep of ""the crusher"" crushes chiesa's groin, who falls to the ground in agony.",NA,NA,FALSE,FALSE,Michael Chiesa,Court McGee,chiesa vs mcgee,Michael Chiesa,1
Michael Chiesa (171) vs. Court McGee (170),50,50,"chiesa brings up another quick knee, and he thumps the cup with one more but is not called on it.","knee, and he thumps the cup","knee, and he thumps the cup",FALSE,FALSE,Michael Chiesa,Court McGee,chiesa vs mcgee,Michael Chiesa,2
Rodolfo Bellato (205.5) vs. Paul Craig (206),31,31,rodolfo bellato is ruled a no contest (illegal upkick) r1 4:59,illegal upkick,illegal upkick,FALSE,FALSE,Rodolfo Bellato,Paul Craig,bellato vs craig,Rodolfo Bellato,1
Alonzo Menifield (206) vs. Oumar Sy (206),15,15,"menifield tracks sy down and wings a left hand at him, and sy showboats and pokes menifield in the eye.",pokes menifield in the eye,pokes menifield in the eye,FALSE,FALSE,Alonzo Menifield,Oumar Sy,menifield vs sy,Oumar Sy,1
Mansur Abdul-Malik (186) vs. Cody Brundage (186),35,35,"one of the unluckiest fighters in the sport has yet another bizarre ending in his strange tenure with the ufc, and it is up to mckeehan and the officials to send this one to the scorecards for a technical decision due to the fight-ending headbutt and the bout reaching the third round.",headbutt,headbutt,FALSE,FALSE,Mansur Abdul-Malik,Cody Brundage,malik vs brundage,UNKNOWN,1
Raoni Barcelos (136) vs. Cody Garbrandt (136),24,24,"barcelos takes him down, and garbrandt gets away with an illegal upkick while scrambling.",illegal upkick,illegal upkick,FALSE,FALSE,Raoni Barcelos,Cody Garbrandt,barcelos vs garbrandt,UNKNOWN,1
Andre Petroski (186) vs. Edmen Shahbazyan (185),22,22,"shahbazyan pushes off and a finger slides into his eye socket, and macdonald calls time and tells petroski to take all the time he needs.",finger slides into his eye,eye poke,FALSE,FALSE,Andre Petroski,Edmen Shahbazyan,petroski vs shahbazyan,Edmen Shahbazyan,1
Tresean Gore (186) vs. Marco Tulio (186),7,7,"tulio puts out a one-two, and gore defends the punches but not the kick that follows and bumps into his cup.",kick that follows and bumps into his cup,kick that follows and bumps into his cup,FALSE,FALSE,Tresean Gore,Marco Tulio,gore vs tulio,Tresean Gore,1
Tresean Gore (186) vs. Marco Tulio (186),29,29,"tulio jams a front kick to the midsection, and the foot pounds squarely into the groin cup.",pounds squarely into the groin,pounds squarely into the groin,FALSE,FALSE,Tresean Gore,Marco Tulio,gore vs tulio,Marco Tulio,2
Su Mudaerji (126) vs. Mitch Raposo (126),39,39,"mudaerji kicks low, and raposo signals that he was kicked in the groin.",kicked in the groin,kicked in the groin,FALSE,FALSE,Su Mudaerji,Mitch Raposo,mudaerji vs raposo,Su Mudaerji,1
Chase Hooper (156) vs. Jim Miller (156),18,18,"miller leans against the cage to take some of the weight off, and he tries to scrape ""the dream"" off of him using the chain links.",NA,NA,FALSE,FALSE,Chase Hooper,Jim Miller,hooper vs miller,Jim Miller,1
Virna Jandiroba (116) vs. Xiaonan Yan (116),31,31,"jandiroba pulls on the fence with her toes, and she uses the fouls to improve her leverage to go after an armbar.",pulls on the fence,pulls on the fence,FALSE,FALSE,Virna Jandiroba,Xiaonan Yan,jandiroba vs yan,Virna Jandiroba,1
Virna Jandiroba (116) vs. Xiaonan Yan (116),40,40,"jandiroba is about to pull yan down, and yan blatantly grabs the fence to stay upright and gets away with it without more than beltran shouting at her.",grabs the fence,grabs the fence,FALSE,FALSE,Virna Jandiroba,Xiaonan Yan,jandiroba vs yan,Xiaonan Yan,2
Bryce Mitchell (146) vs. Jean Silva (146),18,18,"silva comfortably sprawls when mitchell shoots on him, and he pushes off the back of the head to stand.",back of the head,back of the head,FALSE,FALSE,Bryce Mitchell,Jean Silva,mitchell vs silva,Bryce Mitchell,1
Patricio Freire (145) vs. Yair Rodriguez (146),14,14,"an inside leg kick from the mexican goes low, and freire asks him to not kick him in the groin.",kick him in the groin,kick him in the groin,FALSE,FALSE,Patricio Freire,Yair Rodriguez,freire vs rodriguez,Patricio Freire,1
Patricio Freire (145) vs. Yair Rodriguez (146),22,22,"freire signals that he was struck to the back of the head, and rodriguez says he did not mean it.",back of the head,back of the head,FALSE,FALSE,Patricio Freire,Yair Rodriguez,freire vs rodriguez,Yair Rodriguez,2
Patricio Freire (145) vs. Yair Rodriguez (146),23,23,"sherdog scores jay pettry scores the round: 10-9 rodriguez brian knapp scores the round: 10-9 rodriguez tristen critchfield scores the round: 10-9 rodriguez round 2 the fighters touch gloves, with freire still upset about a few minor back of the head strikes.",back of the head,back of the head,FALSE,FALSE,Patricio Freire,Yair Rodriguez,freire vs rodriguez,Patricio Freire,3
Patricio Freire (145) vs. Yair Rodriguez (146),47,47,"when rodriguez lands another body kick, freire suggests that he was kicked in the groin again.",kicked in the groin,kicked in the groin,FALSE,FALSE,Patricio Freire,Yair Rodriguez,freire vs rodriguez,Yair Rodriguez,4
Michael Chandler (156) vs. Paddy Pimblett (156),12,12,"chandler tries to take the fight down, and pimblett grabs the fence to prevent it.",grabs the fence,grabs the fence,FALSE,FALSE,Michael Chandler,Paddy Pimblett,chandler vs pimblett,Paddy Pimblett,1
Michael Chandler (156) vs. Paddy Pimblett (156),33,33,"pimblett groans as he takes the kick flush on the cup, and hatley calls time.",kick flush on the cup,kick flush on the cup,FALSE,FALSE,Michael Chandler,Paddy Pimblett,chandler vs pimblett,Paddy Pimblett,2
Michael Chandler (156) vs. Paddy Pimblett (156),52,52,"pimblett elbows a few times, landing one on the back of the head, and hatley warns him for the foul.","elbows a few times, landing one on the back of the head","elbows a few times, landing one on the back of the head",FALSE,FALSE,Michael Chandler,Paddy Pimblett,chandler vs pimblett,Paddy Pimblett,3
"UFC Featherweight Title Fight:
Alexander Volkanovski (145) vs. Diego Lopes (145)",40,40,"volkanovski accidentally pokes his foe in the eye, and he apologizes as lopes accepts his apology.",pokes his foe in the eye,pokes his foe in the eye,FALSE,FALSE,"UFC Featherweight Title Fight:
Alexander Volkanovski",Diego Lopes,volkanovski vs lopes,"UFC Featherweight Title Fight:
Alexander Volkanovski",1
"UFC Featherweight Title Fight:
Alexander Volkanovski (145) vs. Diego Lopes (145)",75,75,"volkanovski raises up a knee to bang into his opponent's cheek, and he thumbs lopes in the eye socket.",thumbs lopes in the eye,thumbs lopes in the eye,FALSE,FALSE,"UFC Featherweight Title Fight:
Alexander Volkanovski",Diego Lopes,volkanovski vs lopes,"UFC Featherweight Title Fight:
Alexander Volkanovski",2
Jeong Yeong Lee (146) vs. Daniel Santos (146),12,12,"the brazilian pushes his foe against the fence from behind, and lee is warned for grabbing the fence to stay upright when santos tries to wrench him down.",grabbing the fence,grabbing the fence,FALSE,FALSE,Jeong Yeong Lee,Daniel Santos,lee vs santos,Jeong Yeong Lee,1
Ivan Erslan (205) vs. Navajo Stirling (205),54,54,"philippeaux allows things to play out even though erslan face-planted, and stirling punches his man in the back of the head and then leaps on top looking for the finish.",punches his man in the back of the head,punches his man in the back of the head,FALSE,FALSE,Ivan Erslan,Navajo Stirling,erslan vs stirling,Navajo Stirling,1
Kyle Prepolec (156) vs. Benoit St. Denis (156),16,16,"denis calmly wriggles his arm out, which he uses to start slugging prepolec with punches and elbows, a few landing to the back of the head.","punches and elbows, a few landing to the back of the head","punches and elbows, a few landing to the back of the head",FALSE,FALSE,Kyle Prepolec,Benoit St. Denis,prepolec vs denis,Kyle Prepolec,1
Kyle Prepolec (156) vs. Benoit St. Denis (156),38,38,"denis bears down on him, connecting with several swarming punches until prepolec pushes off and jams a finger into his eye.",jams a finger into his eye,eye poke,FALSE,FALSE,Kyle Prepolec,Benoit St. Denis,prepolec vs denis,Kyle Prepolec,2
Jose Aldo (143) vs. Aiemann Zahabi (142),35,35,"zahabi's foot rises up in a combination, and his foot strikes the groin.",NA,NA,FALSE,FALSE,Jose Aldo,Aiemann Zahabi,aldo vs zahabi,Aiemann Zahabi,1
Jose Aldo (143) vs. Aiemann Zahabi (142),39,39,"zahabi kicks him square in the groin, and this time, aldo is a little more irritated and takes some time, while saying ""that's two"" to miragliotta.",kicks him square in the groin,kicks him square in the groin,FALSE,FALSE,Jose Aldo,Aiemann Zahabi,aldo vs zahabi,Aiemann Zahabi,2
Jose Aldo (143) vs. Aiemann Zahabi (142),41,41,"zahabi aims a kick much lower to avoid the groin, and he has another get checked.",NA,NA,FALSE,FALSE,Jose Aldo,Aiemann Zahabi,aldo vs zahabi,Aiemann Zahabi,3
"UFC Womenâs Flyweight Title Fight:
Valentina Shevchenko (124) vs. Manon Fiorot (125)",38,38,shevchenko posts off her right arm and barely blocks an illegal knee while she was grounded that goddard did not see.,illegal knee,illegal knee,FALSE,FALSE,"UFC Womenâs Flyweight Title Fight:
Valentina Shevchenko",Manon Fiorot,shevchenko vs fiorot,"UFC Womenâs Flyweight Title Fight:
Valentina Shevchenko",1
"UFC Womenâs Flyweight Title Fight:
Valentina Shevchenko (124) vs. Manon Fiorot (125)",53,53,"fiorot scores a knee or two to the inner thigh, and she plants one on the groin that shevchenko once again does not protest.",NA,NA,FALSE,FALSE,"UFC Womenâs Flyweight Title Fight:
Valentina Shevchenko",Manon Fiorot,shevchenko vs fiorot,Manon Fiorot,2
"UFC Womenâs Flyweight Title Fight:
Valentina Shevchenko (124) vs. Manon Fiorot (125)",57,57,"fiorot knees the back of the leg, and shevchenko pushes off the cage as fiorot's team claim falsely that she grabbed the fence-goddard replies, ""not even close.""",NA,NA,FALSE,FALSE,"UFC Womenâs Flyweight Title Fight:
Valentina Shevchenko",Manon Fiorot,shevchenko vs fiorot,"UFC Womenâs Flyweight Title Fight:
Valentina Shevchenko",3
"UFC Welterweight Title Fight:
Belal Muhammad (170) vs. Jack Della Maddalena (170)",55,55,"della maddalena defends it and tries for his own, and muhammad elbows him in the side and back of the head.",elbows him in the side and back of the head,elbows him in the side and back of the head,FALSE,FALSE,"UFC Welterweight Title Fight:
Belal Muhammad",Jack Della Maddalena,muhammad vs maddalena,UNKNOWN,1
Yanal Ashmouz (155) vs. Quillan Salkilld (156),7,7,ashmouz uses a fence grab to prevent another takedown.,fence grab,fence grab,FALSE,FALSE,Yanal Ashmouz,Quillan Salkilld,ashmouz vs salkilld,Yanal Ashmouz,1
Yanal Ashmouz (155) vs. Quillan Salkilld (156),15,15,another fence grab from ashmouz.,fence grab,fence grab,FALSE,FALSE,Yanal Ashmouz,Quillan Salkilld,ashmouz vs salkilld,UNKNOWN,2
"UFC Womenâs Bantamweight Title Fight:
Julianna Pena (135) vs. Kayla Harrison (135)",12,12,"pena lands two illegal upkicks against harrison, and a point is rightfully deducted.",illegal upkick,illegal upkick,FALSE,FALSE,"UFC Womenâs Bantamweight Title Fight:
Julianna Pena",Kayla Harrison,pena vs harrison,"UFC Womenâs Bantamweight Title Fight:
Julianna Pena",1
"UFC Bantamweight Title Fight:
Merab Dvalishvili (134) vs. Sean O'Malley (135)",10,10,"o'malley is quick to get back up, although he grabs the fence.",grabs the fence,grabs the fence,FALSE,FALSE,"UFC Bantamweight Title Fight:
Merab Dvalishvili",Sean O'Malley,dvalishvili vs malley,Sean O'Malley,1
Ateba Abega Gautier (186) vs. Andrey Pulyaev (186),21,21,"pulyaev takes a groin shot, tells smith he wants to keep at it, and they trade hands until the bell.",NA,NA,FALSE,FALSE,Ateba Abega Gautier,Andrey Pulyaev,gautier vs pulyaev,Andrey Pulyaev,1
Deiveson Figueiredo (138.5: Missed Weight) vs. Umar Nurmagomedov (136),40,40,"when landing some ground strikes, nurmagomedov is warned for landing them to the back of the head.","landing some ground strikes, nurmagomedov is warned for landing them to the back of the head","landing some ground strikes, nurmagomedov is warned for landing them to the back of the head",FALSE,FALSE,Deiveson Figueiredo,Umar Nurmagomedov,figueiredo vs nurmagomedov,Umar Nurmagomedov,1
Arnold Allen (145.5) vs. Jean Silva (146),17,17,"allen pushes off with his fingers outstretched and pokes silva in the eye, and he apologizes profusely as tognoni briefly calls time.",pushes off with his fingers outstretched and pokes silva in the eye,eye poke,FALSE,FALSE,Arnold Allen,Jean Silva,allen vs silva,Arnold Allen,1
Sean O'Malley (135.5) vs. Yadong Song (136),26,26,"song knees the back of the thigh repeatedly, and he grabs the fence to reposition himself and then holds his arm low to defend some of the knee strikes.",grabs the fence,grabs the fence,FALSE,FALSE,Sean O'Malley,Yadong Song,malley vs song,Yadong Song,1
Justin Gaethje (155) vs. Paddy Pimblett (154),19,19,"pimblett grabs the fence to improve his position, and they trade short strikes on the inside until separating.",grabs the fence,grabs the fence,FALSE,FALSE,Justin Gaethje,Paddy Pimblett,gaethje vs pimblett,Paddy Pimblett,1
Justin Gaethje (155) vs. Paddy Pimblett (154),22,22,"pimblett kicks and keeps himself composed, and gaethje drills him with a right hand and posts off with his left to jam a finger in the eye socket of ""the baddy.""",jam a finger in the eye,eye poke,FALSE,FALSE,Justin Gaethje,Paddy Pimblett,gaethje vs pimblett,Justin Gaethje,2
Justin Gaethje (155) vs. Paddy Pimblett (154),23,23,"goddard immediately calls time, and pimblett motions to the crowd with confusion as to why they are booing him after a clear eye poke.",eye poke,eye poke,FALSE,FALSE,Justin Gaethje,Paddy Pimblett,gaethje vs pimblett,Paddy Pimblett,3
Justin Gaethje (155) vs. Paddy Pimblett (154),47,47,"sherdog scores jay pettry scores the round: 10-9 gaethje devin tejada scores the round: 10-8 gaethje scottie smith scores the round: 10-9 gaethje round 3 between rounds, replays show that gaethje thumbed pimblett in the eye, which is what might have hurt him to start.",thumbed pimblett in the eye,thumbed pimblett in the eye,FALSE,FALSE,Justin Gaethje,Paddy Pimblett,gaethje vs pimblett,UNKNOWN,4
Justin Gaethje (155) vs. Paddy Pimblett (154),60,60,"pimblett takes advantage of the slowing arizonan by picking at him with jabs and follow-up punches, and he leaps at his foe with a knee that bangs into the cup.",knee that bangs into the cup,knee that bangs into the cup,FALSE,FALSE,Justin Gaethje,Paddy Pimblett,gaethje vs pimblett,Paddy Pimblett,5
Justin Gaethje (155) vs. Paddy Pimblett (154),61,61,"gaethje grabs his groin and groans, and goddard calls time and lets pimblett know the knee did indeed land low.",NA,NA,FALSE,FALSE,Justin Gaethje,Paddy Pimblett,gaethje vs pimblett,Paddy Pimblett,6
Justin Gaethje (155) vs. Paddy Pimblett (154),77,77,"when close together, a gaethje knee bangs into the cup, but it also strikes the body so goddard calls it legal.",knee bangs into the cup,knee bangs into the cup,FALSE,FALSE,Justin Gaethje,Paddy Pimblett,gaethje vs pimblett,Justin Gaethje,7
Justin Gaethje (155) vs. Paddy Pimblett (154),98,98,"pimblett goes wild, jumping with a knee that slams into the cup, and gaethje turns around and clutches his groin.",knee that slams into the cup,knee that slams into the cup,FALSE,FALSE,Justin Gaethje,Paddy Pimblett,gaethje vs pimblett,Paddy Pimblett,8
Lawrence Lui (135.25) vs. Rangbo Sulang (135.75),57,57,"sulang pulls on the fence a few times to improve his posture, leading to perdios fussing at him and slapping his hand.",pulls on the fence,pulls on the fence,FALSE,FALSE,Lawrence Lui,Rangbo Sulang,lui vs sulang,Rangbo Sulang,1
Keiichiro Nakamura (145.25) vs. Sebastian Szalay (145.75),38,38,"an uncalled foul is apologized for from szalay, as nakamura wipes his eye and then fires off a couple punches.",NA,NA,FALSE,FALSE,Keiichiro Nakamura,Sebastian Szalay,nakamura vs szalay,UNKNOWN,1
Dom Mar Fan (154.75) vs. Sang Wook Kim (155.75),45,45,"kim's body kick falls a bit low and bangs into the cup, and movahedi checks on fan, who says he is fine.",kick falls a bit low and bangs into the cup,kick falls a bit low and bangs into the cup,FALSE,FALSE,Dom Mar Fan,Sang Wook Kim,fan vs kim,Sang Wook Kim,1
Dom Mar Fan (154.75) vs. Sang Wook Kim (155.75),46,46,"fan promptly kicks kim in the groin right back, and movahedi calls time as fan laughs.",kicks kim in the groin,kicks kim in the groin,FALSE,FALSE,Dom Mar Fan,Sang Wook Kim,fan vs kim,Dom Mar Fan,2
Dom Mar Fan (154.75) vs. Sang Wook Kim (155.75),47,47,"kim is in serious pain, dropping to a knee and wincing heavily from the foot that smashed squarely into his cup.",smashed squarely into his cup,smashed squarely into his cup,FALSE,FALSE,Dom Mar Fan,Sang Wook Kim,fan vs kim,Sang Wook Kim,3
Cody Brundage (184.75) vs. Cameron Rowston (184.5),19,19,"rowston sticks his foe with a pair of jabs, and he kicks low as his foot slides up the leg and bangs into brundage's cup.",bangs into brundage's cup,bangs into brundage's cup,FALSE,FALSE,Cody Brundage,Cameron Rowston,brundage vs rowston,Cameron Rowston,1
Tallison Teixeira (259) vs. Tai Tuivasa (265.5),13,13,"teixeira lands an elbow on the back of the head when beating down tuivasa, who looks unconcerned but otherwise fairly helpless.",lands an elbow on the back of the head,lands an elbow on the back of the head,FALSE,FALSE,Tallison Teixeira,Tai Tuivasa,teixeira vs tuivasa,Tallison Teixeira,1
Tallison Teixeira (259) vs. Tai Tuivasa (265.5),17,17,"tuivasa imposes his weight on the taller man and gets in a knee or two, and he headbutts the brazilian under the chin.",headbutt,headbutt,FALSE,FALSE,Tallison Teixeira,Tai Tuivasa,teixeira vs tuivasa,Tai Tuivasa,2
"UFC Featherweight Title Fight:
Alexander Volkanovski (144.5) vs. Diego Lopes (145)",29,29,"volkanovski slips to the side when taking a kick, and he dings lopes twice and has a kick bounce into the cup.",kick bounce into the cup,kick bounce into the cup,FALSE,FALSE,"UFC Featherweight Title Fight:
Alexander Volkanovski",Diego Lopes,volkanovski vs lopes,Diego Lopes,1
"UFC Featherweight Title Fight:
Alexander Volkanovski (144.5) vs. Diego Lopes (145)",73,73,"volkanovski lets fly a body kick, and he goes low and bangs it into the cup.","kick, and he goes low and bangs it into the cup","kick, and he goes low and bangs it into the cup",FALSE,FALSE,"UFC Featherweight Title Fight:
Alexander Volkanovski",Diego Lopes,volkanovski vs lopes,"UFC Featherweight Title Fight:
Alexander Volkanovski",2
Steven Asplund (261) vs. Sean Sharaf (251),17,17,"the two take turns bashing one another's brains in, and asplund snaps out a jab that splits the skin between sharaf's eyebrows wide open.",jab that splits the skin between sharaf's eye,jab that splits the skin between sharaf's eye,FALSE,FALSE,Steven Asplund,Sean Sharaf,asplund vs sharaf,UNKNOWN,1
Steven Asplund (261) vs. Sean Sharaf (251),31,31,"asplund brings up a low kick that pounds into the cup, the sound echoing through the apex, and smith calls time and immediately brings in the doctor-to check on the cut, and not because of the groin shot.",kick that pounds into the cup,kick that pounds into the cup,FALSE,FALSE,Steven Asplund,Sean Sharaf,asplund vs sharaf,Steven Asplund,2
Joanderson Brito (145.5) vs. Isaac Thomson (146),10,10,"brito leans his shoulder on the wire, biding his time and ignoring short shots around the back of his head.",shots around the back of his head,shots around the back of his head,FALSE,FALSE,Joanderson Brito,Isaac Thomson,brito vs thomson,Joanderson Brito,1
